category,question,answer
ta,Apa saja prosedur pengambilan mata kuliah Tugas Akhir di Fakultas Informatika?,Prosedur pengambilan mata kuliah Tugas Akhir di Fakultas Informatika meliputi:\n1. Masa Persiapan:\n   - Kelompok Keahlian (KK) mengusulkan Topik TA kepada Prodi.\n   - Kelas MK Penulisan Proposal TA mewakili satu bidang peminatan dengan dosen pengampu dan dosen anggota yang menawarkan topik TA.\n\n2. Masa Pra-registrasi:\n   - Fakultas menawarkan topik-topik TA dan calon pembimbing kepada calon mahasiswa.\n   - Calon mahasiswa mendaftar publikasi ilmiah yang diakui Fakultas Informatika.\n   - Calon mahasiswa memilih topik TA dan pembimbing sesuai kuota yang ditetapkan.\n\n3. Tahap Registrasi:\n   - Mahasiswa mendaftar mata kuliah Tugas Akhir sesuai dengan topik dan pembimbing yang telah dipilih.\n   - Mahasiswa menyelesaikan persyaratan administrasi yang diperlukan untuk mengikuti mata kuliah Tugas Akhir.
ta,Bagaimana proses penyusunan laporan Tugas Akhir yang dijelaskan dalam panduan?,"Proses penyusunan laporan Tugas Akhir dijelaskan dalam panduan sebagai berikut:\n1. Laporan TA atau makalah ilmiah harus mencantumkan nama mahasiswa sebagai Penulis 1 dan (tim) Pembimbing dengan afiliasi Fakultas Informatika.\n2. Pembimbing II yang homebase-nya bukan dari Universitas Telkom, afiliasi harus disesuaikan dengan instansi pembimbing II.\n3. Diperkenankan adanya penambahan penulis pendamping yang memberikan kontribusi terhadap makalah ilmiah tersebut.\n4. Laporan TA atau makalah ilmiah harus merupakan hasil dari Tugas Akhir mahasiswa yang bersangkutan, tidak boleh digabungkan dengan Tugas Akhir mahasiswa lain.\n5. Laporan TA dapat berbentuk jurnal atau buku sesuai arahan pembimbing.\n\nJadi, proses penyusunan laporan Tugas Akhir melibatkan penulisan oleh mahasiswa sebagai Penulis 1, pembimbing, dan penulis pendamping (jika ada), serta harus menjadi hasil dari Tugas Akhir mahasiswa tersebut."
ta,Apa saja yang harus dilakukan dalam proses bimbingan Tugas Akhir?,"Dalam proses bimbingan Tugas Akhir, mahasiswa harus melakukan hal-hal berikut:\n1. Mengajukan minimal 1 orang calon pembimbing kepada tim dosen kelas MK Penulisan Proposal.\n2. Melakukan bimbingan minimal 3 kali dengan calon pembimbing.\n3. Menggunakan Form TA1-01A dan TA1-01B dalam proses bimbingan.\n4. Menyerahkan buku panduan Kerja Praktik kepada Pembimbing Lapangan.\n5. Melakukan proses bimbingan dengan pembimbing lapangan dan pembimbing akademik.\n6. Mencatat hasil bimbingan pada Form KP-02.\n7. Menyerahkan laporan kegiatan Kerja Praktik sesuai petunjuk yang diberikan.\n8. Mengajukan permohonan nilai dengan menyerahkan Form KP-03B kepada pembimbing lapangan dan Form KP-03B, Surat Keterangan telah menyelesaikan KP, Laporan pelaksanaan KP, dan Form KP-03A kepada pembimbing akademik."
ta,Bagaimana proses pendaftaran sidang Tugas Akhir di Fakultas Informatika?,"Proses pendaftaran sidang Tugas Akhir di Fakultas Informatika meliputi beberapa tahapan, yaitu:\n1. Masa Persiapan: Kelompok Keahlian (KK) mendiskusikan dan mengusulkan Topik TA kepada Prodi, serta satu kelas MK Penulisan Proposal TA mewakili satu bidang peminatan.\n2. Masa Pra-registrasi: Fakultas menawarkan topik-topik TA dan calon pembimbing kepada calon mahasiswa. Mahasiswa kemudian melengkapi administratif pendaftaran sidang termasuk melampirkan kelengkapan dokumen yang sudah ditentukan.\n\nJadi, proses pendaftaran sidang Tugas Akhir di Fakultas Informatika melibatkan tahapan persiapan topik TA dan pra-registrasi untuk mahasiswa yang ingin mengikuti sidang."
ta,Apa yang harus dipersiapkan dalam pelaksanaan sidang Tugas Akhir?,"Dalam pelaksanaan sidang Tugas Akhir, mahasiswa harus mempersiapkan:\n1. Rekomendasi dari prodi\n2. Kelengkapan dokumen yang sudah ditentukan\n3. Hasil revisi sidang\n4. Administratif pendaftaran sidang\n5. Persetujuan dari dosen pembimbing\n6. Laporan Tugas Akhir\n7. Persetujuan dalam penyelesaian revisi Tugas Akhir"
ta,Bagaimana penilaian Tugas Akhir dilakukan di Fakultas Informatika?,"Penilaian Tugas Akhir di Fakultas Informatika dilakukan dengan menggantikan sidang Tugas Akhir mahasiswa sarjana dengan karya ilmiah berupa artikel yang dipublikasikan pada Jurnal Internasional terindeks Scopus atau Web of Science (WoS), Jurnal Nasional Terakreditasi Sinta 1 s/d 4."
ta,Apa saja yang harus diperhatikan dalam proses revisi Tugas Akhir?,"Dalam proses revisi Tugas Akhir, hal-hal yang harus diperhatikan meliputi:\n1. Mahasiswa diberikan waktu maksimal 15 hari kalender untuk menyelesaikan revisi setelah hasil sidang Tugas Akhir diputuskan.\n2. Jika revisi tidak selesai dalam waktu 15 hari, nilai indeks Tugas Akhir akan turun satu tingkat.\n3. Jika revisi tidak selesai dalam waktu 30 hari, mahasiswa dinyatakan tidak lulus.\n4. Hasil revisi harus divalidasi oleh Dosen Pembimbing sebelum diserahkan ke admin LAAK untuk proses Sidang Yudisium."
ta,Bagaimana cara mengoperasikan aplikasi basis data yang dijelaskan dalam panduan?,"Untuk mengoperasikan aplikasi basis data yang dijelaskan dalam panduan, Anda perlu membuka aplikasi registrasi melalui web browser (seperti Google Chrome, Mozilla Firefox) dengan mengakses URL berikut: https://sirama.telkomuniversity.ac.id. Setelah itu, Anda dapat mengikuti menu-menu yang disediakan dalam aplikasi, seperti Menu Beranda dan List Registrasi sesuai dengan kebutuhan Anda."
ta,Apa yang harus diperhatikan dalam mendesain dan membangun sistem berbasis data?,"Dalam mendesain dan membangun sistem berbasis data, hal-hal yang perlu diperhatikan antara lain:\n1. Menentukan kebutuhan data yang jelas dan spesifik.\n2. Merancang struktur basis data yang efisien dan sesuai dengan kebutuhan.\n3. Memastikan keamanan data dengan menerapkan kontrol akses yang tepat.\n4. Melakukan pengujian sistem secara menyeluruh sebelum diimplementasikan.\n5. Memiliki prosedur backup dan pemulihan data yang baik.\n6. Memperhatikan skalabilitas sistem untuk dapat menangani pertumbuhan data di masa depan.\n7. Memastikan konsistensi data dengan menerapkan aturan integritas data.\n8. Memperhatikan performa sistem agar dapat memberikan respons yang cepat.\n9. Memiliki dokumentasi yang lengkap untuk memudahkan pemeliharaan dan pengembangan sistem di masa depan."
ta,Bagaimana cara melakukan pengujian pada sistem yang telah dibangun?,"Untuk melakukan pengujian pada sistem yang telah dibangun, langkah-langkah yang dapat dilakukan antara lain:\n1. Menyiapkan skenario pengujian yang mencakup berbagai kasus penggunaan yang mungkin terjadi.\n2. Melakukan pengujian fungsional untuk memastikan bahwa sistem berjalan sesuai dengan spesifikasi yang telah ditetapkan.\n3. Melakukan pengujian performa untuk mengukur kinerja sistem dalam menangani beban kerja yang berbeda.\n4. Melakukan pengujian keamanan untuk memastikan bahwa sistem terlindungi dari potensi serangan.\n5. Melakukan pengujian integrasi untuk memastikan bahwa semua komponen sistem berinteraksi dengan baik.\n6. Menganalisis hasil pengujian untuk mengevaluasi kinerja sistem dan mengidentifikasi area yang perlu diperbaiki."
